# Q2 z GE_fit_SBS GE_fit_rat_SBS dGEGD_SBS GM_fit_SBS GM_fit_rat_SBS dGMGD_SBS GEGM_fit_rat_SBS dGEGM_SBS
3.3496543916e-06 -5.1918766061e-01 9.9998986162e-01 9.9999929720e-01 3.6509887709e-07 2.7928183575e+00 9.9999905245e-01 7.1607669571e-07 1.0000002447e+00 8.0378137547e-07
3.3884415614e-06 -5.1918756971e-01 9.9998974423e-01 9.9999928906e-01 3.6930339755e-07 2.7928180217e+00 9.9999904148e-01 7.2432524540e-07 1.0000002476e+00 8.1303972079e-07
3.4276778655e-06 -5.1918747776e-01 9.9998962547e-01 9.9999928082e-01 3.7357310751e-07 2.7928176821e+00 9.9999903038e-01 7.3270161442e-07 1.0000002504e+00 8.2244154994e-07
3.4673685045e-06 -5.1918738475e-01 9.9998950534e-01 9.9999927250e-01 3.7788605975e-07 2.7928173385e+00 9.9999901915e-01 7.4116287539e-07 1.0000002533e+00 8.3193865043e-07
3.5075187395e-06 -5.1918729066e-01 9.9998938382e-01 9.9999926407e-01 3.8224224583e-07 2.7928169909e+00 9.9999900779e-01 7.4970901547e-07 1.0000002563e+00 8.4153100702e-07
3.5481338923e-06 -5.1918719548e-01 9.9998926089e-01 9.9999925555e-01 3.8665262469e-07 2.7928166393e+00 9.9999899631e-01 7.5836147552e-07 1.0000002592e+00 8.5124269894e-07
3.5892193465e-06 -5.1918709919e-01 9.9998913654e-01 9.9999924693e-01 3.9111718660e-07 2.7928162836e+00 9.9999898468e-01 7.6712024046e-07 1.0000002622e+00 8.6107370837e-07
3.6307805477e-06 -5.1918700180e-01 9.9998901074e-01 9.9999923821e-01 3.9563592181e-07 2.7928159238e+00 9.9999897293e-01 7.7598529518e-07 1.0000002653e+00 8.7102401740e-07
3.6728230050e-06 -5.1918690327e-01 9.9998888350e-01 9.9999922939e-01 4.0019785424e-07 2.7928155598e+00 9.9999896104e-01 7.8493517291e-07 1.0000002684e+00 8.8106951595e-07
3.7153522910e-06 -5.1918680360e-01 9.9998875477e-01 9.9999922046e-01 4.0482490694e-07 2.7928151917e+00 9.9999894901e-01 7.9401276231e-07 1.0000002715e+00 8.9125837106e-07
3.7583740429e-06 -5.1918670278e-01 9.9998862456e-01 9.9999921144e-01 4.0949513791e-07 2.7928148192e+00 9.9999893684e-01 8.0317514565e-07 1.0000002746e+00 9.0154238119e-07
3.8018939632e-06 -5.1918660079e-01 9.9998849284e-01 9.9999920231e-01 4.1421950345e-07 2.7928144425e+00 9.9999892453e-01 8.1244375918e-07 1.0000002778e+00 9.1194562031e-07
3.8459178205e-06 -5.1918649762e-01 9.9998835959e-01 9.9999919307e-01 4.1899799356e-07 2.7928140614e+00 9.9999891208e-01 8.2181858753e-07 1.0000002810e+00 9.2246807018e-07
3.8904514499e-06 -5.1918639326e-01 9.9998822480e-01 9.9999918372e-01 4.2384156250e-07 2.7928136758e+00 9.9999889948e-01 8.3132106327e-07 1.0000002842e+00 9.3313380056e-07
3.9355007546e-06 -5.1918628769e-01 9.9998808845e-01 9.9999917427e-01 4.2872827120e-07 2.7928132858e+00 9.9999888674e-01 8.4090827416e-07 1.0000002875e+00 9.4389461616e-07
3.9810717055e-06 -5.1918618089e-01 9.9998795053e-01 9.9999916471e-01 4.3368003772e-07 2.7928128913e+00 9.9999887385e-01 8.5062309998e-07 1.0000002909e+00 9.5479867382e-07
4.0271703433e-06 -5.1918607286e-01 9.9998781100e-01 9.9999915504e-01 4.3868588757e-07 2.7928124923e+00 9.9999886081e-01 8.6044407709e-07 1.0000002942e+00 9.6582186698e-07
4.0738027780e-06 -5.1918596358e-01 9.9998766986e-01 9.9999914525e-01 4.4374581053e-07 2.7928120886e+00 9.9999884762e-01 8.7037118985e-07 1.0000002976e+00 9.7696417705e-07
4.1209751910e-06 -5.1918585303e-01 9.9998752708e-01 9.9999913535e-01 4.4887075863e-07 2.7928116802e+00 9.9999883427e-01 8.8042586700e-07 1.0000003011e+00 9.8824966935e-07
4.1686938347e-06 -5.1918574120e-01 9.9998738266e-01 9.9999912534e-01 4.5404975842e-07 2.7928112671e+00 9.9999882078e-01 8.9058664686e-07 1.0000003046e+00 9.9965423954e-07
4.2169650343e-06 -5.1918562808e-01 9.9998723655e-01 9.9999911521e-01 4.5929376106e-07 2.7928108492e+00 9.9999880712e-01 9.0087495664e-07 1.0000003081e+00 1.0112019512e-06
4.2657951880e-06 -5.1918551365e-01 9.9998708876e-01 9.9999910497e-01 4.6459179377e-07 2.7928104265e+00 9.9999879331e-01 9.1126933598e-07 1.0000003117e+00 1.0228687013e-06
