##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  3.5892e-06   9.999982e-01   6.164385e-07   9.999982e-01   9.999990e-01   8.413099e-07   9.999990e-01   9.999982e-01   9.999990e-01
  3.6308e-06   9.999982e-01   6.235757e-07   9.999982e-01   9.999990e-01   8.510507e-07   9.999990e-01   9.999982e-01   9.999990e-01
  3.6728e-06   9.999982e-01   6.307956e-07   9.999982e-01   9.999990e-01   8.609042e-07   9.999990e-01   9.999982e-01   9.999990e-01
  3.7154e-06   9.999982e-01   6.380991e-07   9.999982e-01   9.999989e-01   8.708718e-07   9.999989e-01   9.999982e-01   9.999989e-01
  3.7584e-06   9.999982e-01   6.454871e-07   9.999982e-01   9.999989e-01   8.809548e-07   9.999989e-01   9.999982e-01   9.999989e-01
  3.8019e-06   9.999981e-01   6.529606e-07   9.999981e-01   9.999989e-01   8.911545e-07   9.999989e-01   9.999981e-01   9.999989e-01
  3.8459e-06   9.999981e-01   6.605207e-07   9.999981e-01   9.999989e-01   9.014723e-07   9.999989e-01   9.999981e-01   9.999989e-01
  3.8905e-06   9.999981e-01   6.681683e-07   9.999981e-01   9.999989e-01   9.119096e-07   9.999989e-01   9.999981e-01   9.999989e-01
  3.9355e-06   9.999981e-01   6.759044e-07   9.999981e-01   9.999989e-01   9.224677e-07   9.999989e-01   9.999981e-01   9.999989e-01
  3.9811e-06   9.999980e-01   6.837300e-07   9.999980e-01   9.999989e-01   9.331479e-07   9.999989e-01   9.999980e-01   9.999989e-01
  4.0272e-06   9.999980e-01   6.916463e-07   9.999980e-01   9.999989e-01   9.439519e-07   9.999989e-01   9.999980e-01   9.999989e-01
  4.0738e-06   9.999980e-01   6.996542e-07   9.999980e-01   9.999988e-01   9.548809e-07   9.999988e-01   9.999980e-01   9.999988e-01
  4.1210e-06   9.999980e-01   7.077548e-07   9.999980e-01   9.999988e-01   9.659364e-07   9.999988e-01   9.999980e-01   9.999988e-01
  4.1687e-06   9.999980e-01   7.159492e-07   9.999980e-01   9.999988e-01   9.771199e-07   9.999988e-01   9.999980e-01   9.999988e-01
  4.2170e-06   9.999979e-01   7.242385e-07   9.999979e-01   9.999988e-01   9.884329e-07   9.999988e-01   9.999979e-01   9.999988e-01
  4.2658e-06   9.999979e-01   7.326237e-07   9.999979e-01   9.999988e-01   9.998768e-07   9.999988e-01   9.999979e-01   9.999988e-01
  4.3152e-06   9.999979e-01   7.411060e-07   9.999979e-01   9.999988e-01   1.011453e-06   9.999988e-01   9.999979e-01   9.999988e-01
  4.3652e-06   9.999979e-01   7.496865e-07   9.999979e-01   9.999988e-01   1.023164e-06   9.999988e-01   9.999979e-01   9.999988e-01
  4.4157e-06   9.999978e-01   7.583663e-07   9.999978e-01   9.999988e-01   1.035010e-06   9.999988e-01   9.999978e-01   9.999988e-01
  4.4668e-06   9.999978e-01   7.671466e-07   9.999978e-01   9.999987e-01   1.046993e-06   9.999987e-01   9.999978e-01   9.999987e-01
  4.5186e-06   9.999978e-01   7.760286e-07   9.999978e-01   9.999987e-01   1.059115e-06   9.999987e-01   9.999978e-01   9.999987e-01
  4.5709e-06   9.999978e-01   7.850133e-07   9.999978e-01   9.999987e-01   1.071377e-06   9.999987e-01   9.999978e-01   9.999987e-01
  4.6238e-06   9.999977e-01   7.941021e-07   9.999977e-01   9.999987e-01   1.083781e-06   9.999987e-01   9.999977e-01   9.999987e-01
  4.6774e-06   9.999977e-01   8.032961e-07   9.999977e-01   9.999987e-01   1.096329e-06   9.999987e-01   9.999977e-01   9.999987e-01
  4.7315e-06   9.999977e-01   8.125965e-07   9.999977e-01   9.999987e-01   1.109021e-06   9.999987e-01   9.999977e-01   9.999987e-01
  4.7863e-06   9.999977e-01   8.220046e-07   9.999977e-01   9.999986e-01   1.121861e-06   9.999986e-01   9.999977e-01   9.999986e-01
  4.8417e-06   9.999976e-01   8.315216e-07   9.999976e-01   9.999986e-01   1.134850e-06   9.999986e-01   9.999976e-01   9.999986e-01
  4.8978e-06   9.999976e-01   8.411487e-07   9.999976e-01   9.999986e-01   1.147989e-06   9.999986e-01   9.999976e-01   9.999986e-01
  4.9545e-06   9.999976e-01   8.508873e-07   9.999976e-01   9.999986e-01   1.161280e-06   9.999986e-01   9.999976e-01   9.999986e-01
  5.0119e-06   9.999975e-01   8.607387e-07   9.999975e-01   9.999986e-01   1.174724e-06   9.999986e-01   9.999975e-01   9.999986e-01
  5.0699e-06   9.999975e-01   8.707040e-07   9.999975e-01   9.999986e-01   1.188325e-06   9.999986e-01   9.999975e-01   9.999986e-01
  5.1286e-06   9.999975e-01   8.807848e-07   9.999975e-01   9.999985e-01   1.202083e-06   9.999985e-01   9.999975e-01   9.999985e-01
  5.1880e-06   9.999975e-01   8.909822e-07   9.999975e-01   9.999985e-01   1.216000e-06   9.999985e-01   9.999975e-01   9.999985e-01
  5.2481e-06   9.999974e-01   9.012977e-07   9.999974e-01   9.999985e-01   1.230078e-06   9.999985e-01   9.999974e-01   9.999985e-01
  5.3088e-06   9.999974e-01   9.117326e-07   9.999974e-01   9.999985e-01   1.244319e-06   9.999985e-01   9.999974e-01   9.999985e-01
  5.3703e-06   9.999974e-01   9.222882e-07   9.999974e-01   9.999985e-01   1.258725e-06   9.999985e-01   9.999974e-01   9.999985e-01
  5.4325e-06   9.999973e-01   9.329661e-07   9.999973e-01   9.999985e-01   1.273298e-06   9.999985e-01   9.999973e-01   9.999985e-01
  5.4954e-06   9.999973e-01   9.437676e-07   9.999973e-01   9.999984e-01   1.288040e-06   9.999984e-01   9.999973e-01   9.999984e-01
  5.5590e-06   9.999973e-01   9.546941e-07   9.999973e-01   9.999984e-01   1.302952e-06   9.999984e-01   9.999973e-01   9.999984e-01
  5.6234e-06   9.999972e-01   9.657471e-07   9.999972e-01   9.999984e-01   1.318036e-06   9.999984e-01   9.999972e-01   9.999984e-01
  5.6885e-06   9.999972e-01   9.769280e-07   9.999972e-01   9.999984e-01   1.333296e-06   9.999984e-01   9.999972e-01   9.999984e-01
  5.7544e-06   9.999972e-01   9.882383e-07   9.999972e-01   9.999984e-01   1.348732e-06   9.999984e-01   9.999972e-01   9.999984e-01
  5.8210e-06   9.999971e-01   9.996796e-07   9.999971e-01   9.999984e-01   1.364346e-06   9.999984e-01   9.999971e-01   9.999984e-01
  5.8884e-06   9.999971e-01   1.011253e-06   9.999971e-01   9.999983e-01   1.380142e-06   9.999983e-01   9.999971e-01   9.999983e-01
  5.9566e-06   9.999971e-01   1.022961e-06   9.999971e-01   9.999983e-01   1.396120e-06   9.999983e-01   9.999971e-01   9.999983e-01
  6.0256e-06   9.999970e-01   1.034804e-06   9.999970e-01   9.999983e-01   1.412283e-06   9.999983e-01   9.999970e-01   9.999983e-01
  6.0954e-06   9.999970e-01   1.046784e-06   9.999970e-01   9.999983e-01   1.428633e-06   9.999983e-01   9.999970e-01   9.999983e-01
  6.1660e-06   9.999970e-01   1.058903e-06   9.999970e-01   9.999983e-01   1.445173e-06   9.999983e-01   9.999970e-01   9.999983e-01
  6.2373e-06   9.999969e-01   1.071163e-06   9.999969e-01   9.999982e-01   1.461904e-06   9.999982e-01   9.999969e-01   9.999982e-01
  6.3096e-06   9.999969e-01   1.083564e-06   9.999969e-01   9.999982e-01   1.478828e-06   9.999982e-01   9.999969e-01   9.999982e-01
  6.3826e-06   9.999969e-01   1.096109e-06   9.999969e-01   9.999982e-01   1.495949e-06   9.999982e-01   9.999969e-01   9.999982e-01
  6.4565e-06   9.999968e-01   1.108798e-06   9.999968e-01   9.999982e-01   1.513267e-06   9.999982e-01   9.999968e-01   9.999982e-01
  6.5313e-06   9.999968e-01   1.121635e-06   9.999968e-01   9.999982e-01   1.530786e-06   9.999982e-01   9.999968e-01   9.999982e-01
  6.6069e-06   9.999968e-01   1.134621e-06   9.999968e-01   9.999981e-01   1.548508e-06   9.999981e-01   9.999968e-01   9.999981e-01
  6.6834e-06   9.999967e-01   1.147756e-06   9.999967e-01   9.999981e-01   1.566435e-06   9.999981e-01   9.999967e-01   9.999981e-01
  6.7608e-06   9.999967e-01   1.161044e-06   9.999967e-01   9.999981e-01   1.584570e-06   9.999981e-01   9.999967e-01   9.999981e-01
  6.8391e-06   9.999966e-01   1.174485e-06   9.999966e-01   9.999981e-01   1.602914e-06   9.999981e-01   9.999966e-01   9.999981e-01
  6.9183e-06   9.999966e-01   1.188083e-06   9.999966e-01   9.999980e-01   1.621471e-06   9.999980e-01   9.999966e-01   9.999980e-01
  6.9984e-06   9.999966e-01   1.201837e-06   9.999966e-01   9.999980e-01   1.640242e-06   9.999980e-01   9.999966e-01   9.999980e-01
  7.0795e-06   9.999965e-01   1.215751e-06   9.999965e-01   9.999980e-01   1.659231e-06   9.999980e-01   9.999965e-01   9.999980e-01
  7.1614e-06   9.999965e-01   1.229825e-06   9.999965e-01   9.999980e-01   1.678440e-06   9.999980e-01   9.999965e-01   9.999980e-01
  7.2444e-06   9.999964e-01   1.244063e-06   9.999964e-01   9.999980e-01   1.697871e-06   9.999980e-01   9.999964e-01   9.999980e-01
